user_supplied_name,submitted_name,data_source_title,score,matched_name2
Lutjanus apodus,Lutjanus apodus,World Register of Marine Species,0.988,Lutjanus apodus
Lutjanus cyanopterus,Lutjanus cyanopterus,World Register of Marine Species,0.988,Lutjanus cyanopterus
Lutjanus griseus,Lutjanus griseus,World Register of Marine Species,0.988,Lutjanus griseus
Lutjanus jocu,Lutjanus jocu,World Register of Marine Species,0.988,Lutjanus jocu
Lutjanus mahogoni,Lutjanus mahogoni,World Register of Marine Species,0.988,Lutjanus mahogoni
Lutjanus synagris,Lutjanus synagris,World Register of Marine Species,0.988,Lutjanus synagris
Malacanthus plumieri,Malacanthus plumieri,World Register of Marine Species,0.988,Malacanthus plumieri
Malacoctenus triangulatus,Malacoctenus triangulatus,World Register of Marine Species,0.988,Malacoctenus triangulatus
Megalops atlanticus,Megalops atlanticus,World Register of Marine Species,0.988,Megalops atlanticus
Melicthys niger,Melicthys niger,World Register of Marine Species,0.988,Melicthys niger
Microspathodon chrysurus,Microspathodon chrysurus,World Register of Marine Species,0.988,Microspathodon chrysurus
Monocanthidae,Monocanthidae,World Register of Marine Species,0.5,Monacanthidae
Monocanthus tuckeri,Monocanthus tuckeri,World Register of Marine Species,0.75,Monacanthus tuckeri
Mulloidichthys martinicus,Mulloidichthys martinicus,World Register of Marine Species,0.988,Mulloidichthys martinicus
Mycteroperca bonaci,Mycteroperca bonaci,World Register of Marine Species,0.988,Mycteroperca bonaci
Mycteroperca interstitialis,Mycteroperca interstitialis,World Register of Marine Species,0.988,Mycteroperca interstitialis
Mycteroperca tigris,Mycteroperca tigris,World Register of Marine Species,0.988,Mycteroperca tigris
Mycteroperca venenosa,Mycteroperca venenosa,World Register of Marine Species,0.988,Mycteroperca venenosa
Myripristis jacobus,Myripristis jacobus,World Register of Marine Species,0.988,Myripristis jacobus
Neoniphon marianus,Neoniphon marianus,World Register of Marine Species,0.988,Neoniphon marianus
Ocyurus chrysurus,Ocyurus chrysurus,World Register of Marine Species,0.988,Ocyurus chrysurus
Odontoscion dentex,Odontoscion dentex,World Register of Marine Species,0.988,Odontoscion dentex
Opistognathus aurifrons,Opistognathus aurifrons,World Register of Marine Species,0.988,Opistognathus aurifrons
Pomocanthus arcuatus,Pomocanthus arcuatus,World Register of Marine Species,0.75,Pomacanthus arcuatus
Pomocanthus paru,Pomocanthus paru,World Register of Marine Species,0.75,Pomacanthus paru
Priacanthus arenatus,Priacanthus arenatus,World Register of Marine Species,0.988,Priacanthus arenatus
Prognathodes aculeatus,Prognathodes aculeatus,World Register of Marine Species,0.988,Prognathodes aculeatus
Pseudupeneus maculatus,Pseudupeneus maculatus,World Register of Marine Species,0.988,Pseudupeneus maculatus
Pterois volitans,Pterois volitans,World Register of Marine Species,0.988,Pterois volitans
Rachycentron canadum,Rachycentron canadum,World Register of Marine Species,0.988,Rachycentron canadum
Remora sp.,Remora sp.,World Register of Marine Species,0.75,Remora
Remora spp.,Remora spp.,World Register of Marine Species,0.75,Remora
Rypticus saponaceus,Rypticus saponaceus,World Register of Marine Species,0.988,Rypticus saponaceus
Scarus  taeneopterus,Scarus  taeneopterus,World Register of Marine Species,0.75,Scarus taeniopterus
Scarus iseri,Scarus iseri,World Register of Marine Species,0.988,Scarus iseri
Scarus taeneopterus,Scarus taeneopterus,World Register of Marine Species,0.75,Scarus taeniopterus
Scarus vetula,Scarus vetula,World Register of Marine Species,0.988,Scarus vetula
Scomberomorus maculatus,Scomberomorus maculatus,World Register of Marine Species,0.988,Scomberomorus maculatus
Scomberomorus regalis,Scomberomorus regalis,World Register of Marine Species,0.988,Scomberomorus regalis
Scorpaena plumieri,Scorpaena plumieri,World Register of Marine Species,0.988,Scorpaena plumieri
Serranus tabacarius,Serranus tabacarius,World Register of Marine Species,0.988,Serranus tabacarius
Serranus tigrinus,Serranus tigrinus,World Register of Marine Species,0.988,Serranus tigrinus
Sparisoma atomarium,Sparisoma atomarium,World Register of Marine Species,0.988,Sparisoma atomarium
Sparisoma aurofrenatum,Sparisoma aurofrenatum,World Register of Marine Species,0.988,Sparisoma aurofrenatum
Sparisoma chrysopterum,Sparisoma chrysopterum,World Register of Marine Species,0.988,Sparisoma chrysopterum
Sparisoma rubripinne,Sparisoma rubripinne,World Register of Marine Species,0.988,Sparisoma rubripinne
Sparisoma viride,Sparisoma viride,World Register of Marine Species,0.988,Sparisoma viride
Sphoeroides spengleri,Sphoeroides spengleri,World Register of Marine Species,0.988,Sphoeroides spengleri
Sphyraena barracuda,Sphyraena barracuda,World Register of Marine Species,0.988,Sphyraena barracuda
Stegastes diencaeus,Stegastes diencaeus,World Register of Marine Species,0.988,Stegastes diencaeus
Stegastes fuscus,Stegastes fuscus,World Register of Marine Species,0.988,Stegastes fuscus
Stegastes leucostictus,Stegastes leucostictus,World Register of Marine Species,0.988,Stegastes leucostictus
Stegastes partitus,Stegastes partitus,World Register of Marine Species,0.988,Stegastes partitus
Stegastes planifrons,Stegastes planifrons,World Register of Marine Species,0.988,Stegastes planifrons
Stegastes variabilis,Stegastes variabilis,World Register of Marine Species,0.988,Stegastes variabilis
Stephanolepis hispidus,Stephanolepis hispidus,World Register of Marine Species,0.988,Stephanolepis hispidus
Synodus intermedius,Synodus intermedius,World Register of Marine Species,0.988,Synodus intermedius
Tachinotus falcatus,Tachinotus falcatus,World Register of Marine Species,0.75,Trachinotus falcatus
Thalassoma bifasciatum,Thalassoma bifasciatum,World Register of Marine Species,0.988,Thalassoma bifasciatum
Xyrichtys martinicensis,Xyrichtys martinicensis,World Register of Marine Species,0.988,Xyrichtys martinicensis
